,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played
5234,7,7,3890260,904,8313,Kyriakos Papadopoulos,,5,True,5,Left Center Back,94
5235,8,8,3890260,904,8805,Christoph Kramer,,23,True,11,Left Defensive Midfield,94
5236,9,9,3890260,904,8918,Roberto Hilbert,,13,True,2,Right Back,94
5237,10,10,3890260,904,8969,Lars Bender,,8,True,9,Right Defensive Midfield,60
5238,11,11,3890260,904,9363,André Ramalho Silva,André Ramalho,2,False,0,Substitute,4
5239,12,12,3890260,904,11394,Stefan Kießling,,11,True,23,Center Forward,94
5240,13,13,3890260,904,15581,Bernd Leno,,1,True,1,Goalkeeper,94
5241,18,18,3890260,175,8311,Jonathan Schmid,,10,True,13,Right Center Midfield,72
5242,19,19,3890260,175,8387,Mark Uth,,19,False,0,Substitute,22
5243,20,20,3890260,175,8393,Oliver Baumann,,1,True,1,Goalkeeper,94
5244,21,21,3890260,175,8404,Eugen Polanski,,8,True,15,Left Center Midfield,82
5245,22,22,3890260,175,8556,Pirmin Schwegler,,16,True,10,Center Defensive Midfield,94
5246,24,24,3890260,175,9720,Philipp Ochs,,30,False,0,Substitute,12
5247,25,25,3890260,175,12321,Tobias Strobl,,12,False,0,Substitute,36
5248,26,26,3890260,175,19836,Kevin Kuranyi,,22,True,22,Right Center Forward,58
5249,0,0,3890261,180,3275,Henrikh Mkhitaryan,,10,True,21,Left Wing,90
5250,1,1,3890261,180,3712,Pierre-Emerick Aubameyang,,17,True,23,Center Forward,76
5251,5,5,3890261,180,5684,Shinji Kagawa,,23,True,19,Center Attacking Midfield,84
5252,7,7,3890261,180,8222,Kevin Kampl,,44,False,0,Substitute,14
5253,8,8,3890261,180,8225,Roman Bürki,,38,True,1,Goalkeeper,90
5254,9,9,3890261,180,8244,Sokratis Papastathopoulos,Sokratis,25,True,3,Right Center Back,90
5255,10,10,3890261,180,8816,Julian Weigl,,33,True,11,Left Defensive Midfield,90
5256,13,13,3890261,180,24324,Gustavo Adrián Ramos Vásquez,Adrián Ramos,20,False,0,Substitute,14
5257,18,18,3890261,185,5835,Josip Drmic,,9,True,24,Left Center Forward,65
5258,19,19,3890261,185,8238,Mahmoud Dahoud,,8,False,0,Substitute,12
5259,20,20,3890261,185,8806,Lars Edi Stindl,,13,True,9,Right Defensive Midfield,90
5260,21,21,3890261,185,8809,Oscar Wendt,,17,True,6,Left Back,90
5261,22,22,3890261,185,8810,Raffael Caetano de Araújo,Raffael,11,True,22,Right Center Forward,90
5262,23,23,3890261,185,8813,Patrick Herrmann,,7,False,0,Substitute,26
5263,24,24,3890261,185,11283,Fabian Johnson,,19,True,16,Left Midfield,90
5264,25,25,3890261,185,11285,Ibrahima Traoré,,16,True,12,Right Midfield,64
5265,26,26,3890261,185,12320,Tony Jantschke,,24,True,2,Right Back,90
5266,27,27,3890261,185,29245,Marvin Schulz,,18,True,3,Right Center Back,90
5267,1,1,3890262,178,5664,Salif Sané,,5,True,11,Left Defensive Midfield,92
5268,3,3,3890262,178,8543,Manuel Schmiedebach,,8,True,9,Right Defensive Midfield,81
5269,4,4,3890262,178,8551,Felix Klaus,,11,True,21,Left Wing,45
5270,5,5,3890262,178,8558,Charlison Benschop,,35,False,0,Substitute,47
5271,6,6,3890262,178,8947,Ron-Robert Zieler,,1,True,1,Goalkeeper,92
5272,7,7,3890262,178,11845,Artur Sobiech,,9,False,0,Substitute,19
5273,8,8,3890262,178,12316,Oliver Sorg,,29,True,2,Right Back,92
5274,9,9,3890262,178,13126,Miiko Martín Albornoz Inola,Miiko Albornoz,3,True,6,Left Back,92
5275,10,10,3890262,178,20027,Mevlüt Erdinç,,39,True,23,Center Forward,73
5276,11,11,3890262,178,24914,Edgar Prib,,7,True,19,Center Attacking Midfield,92
5277,12,12,3890262,178,400613,Leon Andreasen,,2,False,0,Substitute,11
5278,13,13,3890262,178,400614,Christian Schulz,,19,True,5,Left Center Back,92
5279,14,14,3890262,872,8306,Christian Mathenia,,31,True,1,Goalkeeper,92
5280,15,15,3890262,872,8388,Jérôme Gondorf,,8,True,9,Right Defensive Midfield,92
5281,16,16,3890262,872,9217,Aytac Sulu,,4,True,3,Right Center Back,92
5282,17,17,3890262,872,9219,Tobias Kempe,,11,False,0,Substitute,27
5283,18,18,3890262,872,9222,Fabian Holland,,32,True,6,Left Back,92
5284,19,19,3890262,872,9401,Marcel Heller,,20,True,12,Right Midfield,92
5285,20,20,3890262,872,9404,Luca Caldirola,,33,True,5,Left Center Back,92
5286,21,21,3890262,872,9723,Sandro Wagner,,14,False,0,Substitute,6
5287,22,22,3890262,872,11134,Konstantin Rausch,,34,True,16,Left Midfield,65
5288,23,23,3890262,872,12383,Florian Jungwirth,,23,True,2,Right Back,92
5289,24,24,3890262,872,40467,Peter Niemeyer,,18,True,11,Left Defensive Midfield,92
5290,25,25,3890262,872,40477,Jan Rosenthal,,10,False,0,Substitute,20
5291,26,26,3890262,872,40481,Dominik Stroh-Engel,,9,True,23,Center Forward,86
5292,27,27,3890262,872,400612,Marco Sailer,,7,True,19,Center Attacking Midfield,72
5293,0,0,3890263,189,2968,Elias Kachunga,,25,False,0,Substitute,33
5294,1,1,3890263,189,3097,Pascal Groß,,10,True,13,Right Center Midfield,80
5295,3,3,3890263,189,8394,Robert Bauer,,23,False,0,Substitute,13
5296,4,4,3890263,189,8405,Benjamin Hübner,,5,True,5,Left Center Back,93
5297,5,5,3890263,189,9103,Lukas Hinterseer,,16,True,23,Center Forward,85
5298,6,6,3890263,189,9106,Marvin Matip,,34,True,3,Right Center Back,93
5299,7,7,3890263,189,12304,Alfredo Morales,,6,True,15,Left Center Midfield,93
5300,8,8,3890263,189,12319,Ramazan Özcan,,1,True,1,Goalkeeper,93
5301,9,9,3890263,189,13332,Romain Brégerie,,18,False,0,Substitute,8
5302,10,10,3890263,189,36641,Konstantin Engel,,20,True,6,Left Back,93
5303,11,11,3890263,189,40459,Roger de Oliveira Bernardo,Roger Bernardo,8,True,10,Center Defensive Midfield,93
5304,12,12,3890263,189,40460,Tobias Levels,,28,True,2,Right Back,93
5305,13,13,3890263,189,40464,Moritz Hartmann,,9,True,17,Right Wing,60
5306,15,15,3890263,177,5467,Leon Aderemi Balogun,,3,False,0,Substitute,9
5307,16,16,3890263,177,5627,Ja-Cheol Koo,Koo Ja-Cheol,13,False,0,Substitute,20
5308,17,17,3890263,177,6337,Yoshinori Muto,,9,False,0,Substitute,16
5309,19,19,3890263,177,8548,Daniel Brosinski,,18,True,2,Right Back,93
5310,20,20,3890263,177,8559,Stefan Bell,,16,True,5,Left Center Back,93
5311,22,22,3890263,177,8679,Yunus Mallı,,10,True,19,Center Attacking Midfield,93
5312,23,23,3890263,177,8943,Florian Niederlechner,,31,True,23,Center Forward,77
5313,24,24,3890263,177,9098,Christian Clemens,,27,True,17,Right Wing,93
5314,25,25,3890263,177,13319,Niko Bungert,,26,True,3,Right Center Back,93
5315,5,5,3890264,181,6717,Johannes Geis,,5,True,9,Right Defensive Midfield,91
5316,6,6,3890264,181,8060,Klaas-Jan Huntelaar,,25,True,24,Left Center Forward,91
